deal_id,created_date,closed_date,sales_rep_id,industry,region,product_type,lead_source,deal_stage,deal_amount,sales_cycle_days,outcome,won,created_quarter,closed_quarter,closed_month,segment_key,hist_wr_component,deal_size_bucket,expected_cycle,velocity_score,rep_component,source_component,pipeline_quality_score,segment_key_velocity,expected_cycle_days,deal_velocity_index,rep_efficiency_ratio,lead_source_roi,segment_attractiveness_index,pipeline_decay_rate,industry_complexity,product_complexity,region_complexity,deal_complexity_score
D00014,2023-05-03,2023-05-17,rep_3,SaaS,Europe,Core,Referral,Negotiation,31226,14,Won,1,2023Q2,2023Q2,2023-05,SaaS_Core_Europe,20.210526315789473,"(30000, 60000]",64.0,30.0,9.444444444444445,4.552715654952077,64.2,SaaS_Core,60.0,4.29,0.496,186.0,2512.0,52.4,30.0,10,4.694411627571434,56.6
D00015,2023-10-09,2023-11-06,rep_23,EdTech,India,Enterprise,Partner,Demo,47760,28,Won,1,2023Q4,2023Q4,2023-11,EdTech_Enterprise_India,18.75,"(30000, 60000]",64.0,30.0,8.91304347826087,4.395161290322581,62.1,EdTech_Enterprise,60.0,2.14,0.433,183.0,3157.0,53.9,0.0,20,10.0,48.7
D00016,2023-08-13,2023-10-25,rep_19,SaaS,Europe,Enterprise,Outbound,Qualified,11681,73,Lost,0,2023Q3,2023Q4,2023-10,SaaS_Enterprise_Europe,17.534246575342465,"(10000, 30000]",64.0,26.301369863013697,9.591836734693878,4.550561797752809,58.0,SaaS_Enterprise,69.0,0.95,0.501,182.0,2512.0,49.4,30.0,20,4.694411627571434,58.6
D00017,2023-01-04,2023-01-20,rep_3,SaaS,Europe,Pro,Referral,Proposal,2482,16,Lost,0,2023Q1,2023Q1,2023-01,SaaS_Pro_Europe,15.675675675675675,"(0, 10000]",64.0,30.0,9.444444444444445,4.552715654952077,59.7,SaaS_Pro,64.0,4.0,0.496,186.0,2512.0,79.1,30.0,15,4.694411627571434,49.9
D00018,2023-04-20,2023-07-05,rep_14,HealthTech,North America,Core,Referral,Negotiation,6677,76,Won,1,2023Q2,2023Q3,2023-07,HealthTech_Core_North America,18.313253012048193,"(0, 10000]",64.0,25.263157894736842,8.792270531400966,4.552715654952077,56.9,HealthTech_Core,65.0,0.86,0.487,186.0,2425.0,53.7,10.118359441968632,10,8.401846675330317,30.4
D00019,2023-07-01,2023-08-31,rep_24,EdTech,North America,Core,Outbound,Negotiation,7972,61,Won,1,2023Q3,2023Q3,2023-08,EdTech_Core_North America,18.795180722891565,"(0, 10000]",64.0,30.0,8.96551724137931,4.550561797752809,62.3,EdTech_Core,61.0,1.0,0.419,182.0,2839.0,55.1,0.0,10,8.401846675330317,20.8
D00020,2023-04-08,2023-06-22,rep_3,Ecommerce,North America,Core,Inbound,Demo,11006,75,Won,1,2023Q2,2023Q2,2023-06,Ecommerce_Core_North America,17.97752808988764,"(10000, 30000]",64.0,25.6,9.444444444444445,4.603803486529319,57.6,Ecommerce_Core,63.5,0.85,0.496,195.0,3119.0,56.1,17.931602896560435,10,8.401846675330317,40.0
D00021,2023-02-17,2023-05-31,rep_13,FinTech,Europe,Pro,Inbound,Demo,14658,103,Lost,0,2023Q1,2023Q2,2023-05,FinTech_Pro_Europe,18.18181818181818,"(10000, 30000]",64.0,18.640776699029125,8.820512820512821,4.603803486529319,50.2,FinTech_Pro,66.0,0.64,0.528,195.0,2937.0,52.4,17.086215382317068,15,4.694411627571434,41.9
D00022,2023-07-19,2023-08-28,rep_22,Ecommerce,Europe,Core,Partner,Closed,75444,40,Lost,0,2023Q3,2023Q3,2023-08,Ecommerce_Core_Europe,19.069767441860467,"(60000, 100000]",65.0,30.0,8.018867924528303,4.395161290322581,61.5,Ecommerce_Core,63.5,1.59,0.424,183.0,2979.0,55.1,17.931602896560435,10,4.694411627571434,62.6
D00023,2023-04-22,2023-05-06,rep_19,Ecommerce,Europe,Core,Inbound,Qualified,6441,14,Lost,0,2023Q2,2023Q2,2023-05,Ecommerce_Core_Europe,19.069767441860467,"(0, 10000]",64.0,30.0,9.591836734693878,4.603803486529319,63.3,Ecommerce_Core,63.5,4.54,0.501,195.0,2979.0,52.4,17.931602896560435,10,4.694411627571434,34.4
D00024,2024-03-11,2024-04-10,rep_19,HealthTech,North America,Enterprise,Inbound,Qualified,19062,30,Won,1,2024Q1,2024Q2,2024-04,HealthTech_Enterprise_North America,18.5,"(10000, 30000]",64.0,30.0,9.591836734693878,4.603803486529319,62.7,HealthTech_Enterprise,63.0,2.1,0.501,195.0,2425.0,58.2,10.118359441968632,20,8.401846675330317,45.5
D00025,2023-08-03,2023-11-02,rep_8,EdTech,India,Core,Partner,Proposal,6282,91,Lost,0,2023Q3,2023Q4,2023-11,EdTech_Core_India,17.142857142857142,"(0, 10000]",64.0,21.098901098901102,9.62566844919786,4.395161290322581,52.3,EdTech_Core,61.0,0.67,0.484,183.0,3157.0,53.9,0.0,10,10.0,21.7
D00026,2023-08-23,2023-10-09,rep_4,FinTech,Europe,Enterprise,Partner,Closed,80068,47,Lost,0,2023Q3,2023Q4,2023-10,FinTech_Enterprise_Europe,18.823529411764707,"(60000, 100000]",65.0,30.0,9.16256157635468,4.395161290322581,62.4,FinTech_Enterprise,64.0,1.36,0.471,183.0,2937.0,49.4,17.086215382317068,20,4.694411627571434,73.6
D00027,2023-03-09,2023-04-29,rep_18,EdTech,North America,Enterprise,Partner,Negotiation,4001,51,Lost,0,2023Q1,2023Q2,2023-04,EdTech_Enterprise_North America,21.149425287356323,"(0, 10000]",64.0,30.0,8.172043010752688,4.395161290322581,63.7,EdTech_Enterprise,60.0,1.18,0.43,183.0,2839.0,59.6,0.0,20,8.401846675330317,29.2
D00028,2023-12-06,2023-12-26,rep_5,EdTech,APAC,Enterprise,Outbound,Closed,3100,20,Lost,0,2023Q4,2023Q4,2023-12,EdTech_Enterprise_APAC,15.064935064935066,"(0, 10000]",64.0,30.0,9.154228855721394,4.550561797752809,58.8,EdTech_Enterprise,60.0,3.0,0.447,182.0,2518.0,54.8,0.0,20,0.0,20.4
D00029,2024-01-03,2024-02-22,rep_2,FinTech,India,Pro,Inbound,Proposal,12325,50,Won,1,2024Q1,2024Q1,2024-02,FinTech_Pro_India,18.144329896907216,"(10000, 30000]",64.0,30.0,9.230769230769232,4.603803486529319,62.0,FinTech_Pro,66.0,1.32,0.498,195.0,2652.0,52.8,17.086215382317068,15,10.0,46.3
D00030,2023-01-02,2023-02-20,rep_18,Ecommerce,North America,Core,Inbound,Negotiation,41178,49,Lost,0,2023Q1,2023Q1,2023-02,Ecommerce_Core_North America,17.97752808988764,"(30000, 60000]",64.0,30.0,8.172043010752688,4.603803486529319,60.8,Ecommerce_Core,63.5,1.3,0.43,195.0,3119.0,60.2,17.931602896560435,10,8.401846675330317,52.3
D00031,2023-12-20,2024-01-15,rep_5,FinTech,APAC,Pro,Inbound,Negotiation,5024,26,Lost,0,2023Q4,2024Q1,2024-01,FinTech_Pro_APAC,21.538461538461537,"(0, 10000]",64.0,30.0,9.154228855721394,4.603803486529319,65.3,FinTech_Pro,66.0,2.54,0.447,195.0,3115.0,51.6,17.086215382317068,15,0.0,33.3
D00032,2023-07-03,2023-08-05,rep_20,HealthTech,Europe,Core,Outbound,Negotiation,66357,33,Lost,0,2023Q3,2023Q3,2023-08,HealthTech_Core_Europe,17.272727272727273,"(60000, 100000]",65.0,30.0,9.391304347826088,4.550561797752809,61.2,HealthTech_Core,65.0,1.97,0.5,182.0,2708.0,55.1,10.118359441968632,10,4.694411627571434,51.1
D00033,2023-07-31,2023-08-10,rep_23,FinTech,India,Core,Referral,Demo,14745,10,Won,1,2023Q3,2023Q3,2023-08,FinTech_Core_India,19.746835443037977,"(10000, 30000]",64.0,30.0,8.91304347826087,4.552715654952077,63.2,FinTech_Core,66.0,6.6,0.433,186.0,2652.0,55.1,17.086215382317068,10,10.0,42.3
D00034,2023-04-24,2023-05-26,rep_1,HealthTech,India,Pro,Partner,Demo,5770,32,Lost,0,2023Q2,2023Q2,2023-05,HealthTech_Pro_India,17.872340425531913,"(0, 10000]",64.0,30.0,9.09952606635071,4.395161290322581,61.4,HealthTech_Pro,63.0,1.97,0.466,183.0,3053.0,52.4,10.118359441968632,15,10.0,36.7
D00035,2024-03-18,2024-04-02,rep_11,FinTech,North America,Pro,Outbound,Closed,13753,15,Lost,0,2024Q1,2024Q2,2024-04,FinTech_Pro_North America,20.253164556962027,"(10000, 30000]",64.0,30.0,9.3,4.550561797752809,64.1,FinTech_Pro,66.0,4.4,0.479,182.0,3073.0,58.2,17.086215382317068,15,8.401846675330317,45.3
D00036,2023-10-25,2023-12-04,rep_14,SaaS,North America,Pro,Outbound,Proposal,65309,40,Won,1,2023Q4,2023Q4,2023-12,SaaS_Pro_North America,17.647058823529413,"(60000, 100000]",65.0,30.0,8.792270531400966,4.550561797752809,61.0,SaaS_Pro,64.0,1.6,0.487,182.0,2840.0,54.8,30.0,15,8.401846675330317,79.2
D00037,2023-05-11,2023-05-23,rep_12,Ecommerce,North America,Enterprise,Partner,Demo,90575,12,Lost,0,2023Q2,2023Q2,2023-05,Ecommerce_Enterprise_North America,16.551724137931036,"(60000, 100000]",65.0,30.0,9.666666666666666,4.395161290322581,60.6,Ecommerce_Enterprise,66.0,5.5,0.431,183.0,3119.0,52.4,17.931602896560435,20,8.401846675330317,82.5
D00038,2023-11-16,2024-01-02,rep_22,Ecommerce,APAC,Pro,Partner,Proposal,59363,47,Lost,0,2023Q4,2024Q1,2024-01,Ecommerce_Pro_APAC,16.88888888888889,"(30000, 60000]",64.0,30.0,8.018867924528303,4.395161290322581,59.3,Ecommerce_Pro,64.0,1.36,0.424,183.0,3097.0,51.6,17.931602896560435,15,0.0,56.3
D00039,2023-10-11,2023-11-03,rep_10,Ecommerce,North America,Pro,Partner,Closed,42810,23,Won,1,2023Q4,2023Q4,2023-11,Ecommerce_Pro_North America,17.4468085106383,"(30000, 60000]",64.0,30.0,8.481675392670157,4.395161290322581,60.3,Ecommerce_Pro,64.0,2.78,0.398,183.0,3119.0,53.9,17.931602896560435,15,8.401846675330317,58.0
D00040,2023-04-18,2023-06-19,rep_15,HealthTech,India,Enterprise,Outbound,Negotiation,18726,62,Lost,0,2023Q2,2023Q2,2023-06,HealthTech_Enterprise_India,15.918367346938776,"(10000, 30000]",64.0,30.0,8.914285714285715,4.550561797752809,59.4,HealthTech_Enterprise,63.0,1.02,0.415,182.0,3053.0,56.1,10.118359441968632,20,10.0,46.9
D00041,2023-12-04,2023-12-21,rep_22,EdTech,Europe,Core,Outbound,Demo,7438,17,Won,1,2023Q4,2023Q4,2023-12,EdTech_Core_Europe,18.367346938775512,"(0, 10000]",64.0,30.0,8.018867924528303,4.550561797752809,60.9,EdTech_Core,61.0,3.59,0.424,182.0,3558.0,54.8,0.0,10,4.694411627571434,16.9
D00042,2023-01-13,2023-01-25,rep_21,SaaS,Europe,Enterprise,Referral,Negotiation,18015,12,Won,1,2023Q1,2023Q1,2023-01,SaaS_Enterprise_Europe,17.534246575342465,"(10000, 30000]",64.0,30.0,10.192307692307692,4.552715654952077,62.3,SaaS_Enterprise,69.0,5.75,0.558,186.0,2512.0,79.1,30.0,20,4.694411627571434,61.2
D00043,2023-09-11,2023-11-08,rep_8,HealthTech,India,Core,Outbound,Negotiation,7374,58,Won,1,2023Q3,2023Q4,2023-11,HealthTech_Core_India,18.426966292134832,"(0, 10000]",64.0,30.0,9.62566844919786,4.550561797752809,62.6,HealthTech_Core,65.0,1.12,0.484,182.0,3053.0,53.9,10.118359441968632,10,10.0,32.3
D00044,2024-03-10,2024-04-01,rep_11,Ecommerce,India,Enterprise,Referral,Closed,89616,22,Lost,0,2024Q1,2024Q2,2024-04,Ecommerce_Enterprise_India,14.545454545454547,"(60000, 100000]",65.0,30.0,9.3,4.552715654952077,58.4,Ecommerce_Enterprise,66.0,3.0,0.479,186.0,2978.0,58.2,17.931602896560435,20,10.0,83.7
D00045,2023-03-23,2023-07-03,rep_25,SaaS,India,Enterprise,Outbound,Proposal,52406,102,Lost,0,2023Q1,2023Q3,2023-07,SaaS_Enterprise_India,18.352941176470587,"(30000, 60000]",64.0,18.823529411764707,9.073170731707318,4.550561797752809,50.8,SaaS_Enterprise,69.0,0.68,0.485,182.0,3293.0,53.7,30.0,20,10.0,80.6
D00046,2023-05-21,2023-07-23,rep_18,FinTech,Europe,Core,Outbound,Proposal,11841,63,Won,1,2023Q2,2023Q3,2023-07,FinTech_Core_Europe,18.37837837837838,"(10000, 30000]",64.0,30.0,8.172043010752688,4.550561797752809,61.1,FinTech_Core,66.0,1.05,0.43,182.0,2937.0,53.7,17.086215382317068,10,4.694411627571434,35.8
D00047,2023-07-16,2023-10-19,rep_18,Ecommerce,India,Core,Outbound,Proposal,9052,95,Won,1,2023Q3,2023Q4,2023-10,Ecommerce_Core_India,19.148936170212767,"(0, 10000]",64.0,20.210526315789473,8.172043010752688,4.550561797752809,52.1,Ecommerce_Core,63.5,0.67,0.43,182.0,2978.0,49.4,17.931602896560435,10,10.0,40.8
D00048,2024-03-02,2024-05-01,rep_16,FinTech,APAC,Pro,Referral,Negotiation,22560,60,Won,1,2024Q1,2024Q2,2024-05,FinTech_Pro_APAC,21.538461538461537,"(10000, 30000]",64.0,30.0,9.417040358744394,4.552715654952077,65.5,FinTech_Pro,66.0,1.1,0.5,186.0,3115.0,54.6,17.086215382317068,15,0.0,40.5
D00049,2024-03-12,2024-07-03,rep_9,Ecommerce,India,Core,Referral,Demo,17883,113,Won,1,2024Q1,2024Q3,2024-07,Ecommerce_Core_India,19.148936170212767,"(10000, 30000]",64.0,16.991150442477874,8.924731182795698,4.552715654952077,49.6,Ecommerce_Core,63.5,0.56,0.497,186.0,2978.0,62.9,17.931602896560435,10,10.0,44.4
D00050,2023-06-22,2023-09-22,rep_20,SaaS,North America,Pro,Inbound,Demo,19864,92,Lost,0,2023Q2,2023Q3,2023-09,SaaS_Pro_North America,17.647058823529413,"(10000, 30000]",64.0,20.869565217391305,9.391304347826088,4.603803486529319,52.5,SaaS_Pro,64.0,0.7,0.5,195.0,2840.0,53.3,30.0,15,8.401846675330317,60.7
D00051,2023-02-12,2023-05-12,rep_11,HealthTech,India,Pro,Partner,Negotiation,10977,89,Won,1,2023Q1,2023Q2,2023-05,HealthTech_Pro_India,17.872340425531913,"(10000, 30000]",64.0,21.573033707865168,9.3,4.395161290322581,53.1,HealthTech_Pro,63.0,0.71,0.479,183.0,3053.0,52.4,10.118359441968632,15,10.0,38.8
D00052,2024-01-25,2024-05-23,rep_24,SaaS,North America,Pro,Outbound,Qualified,12133,119,Won,1,2024Q1,2024Q2,2024-05,SaaS_Pro_North America,17.647058823529413,"(10000, 30000]",64.0,16.134453781512605,8.96551724137931,4.550561797752809,47.3,SaaS_Pro,64.0,0.54,0.419,182.0,2840.0,54.6,30.0,15,8.401846675330317,57.5
D00053,2023-11-29,2023-12-14,rep_1,SaaS,Europe,Core,Outbound,Demo,7339,15,Lost,0,2023Q4,2023Q4,2023-12,SaaS_Core_Europe,20.210526315789473,"(0, 10000]",64.0,30.0,9.09952606635071,4.550561797752809,63.9,SaaS_Core,60.0,4.0,0.466,182.0,2512.0,54.8,30.0,10,4.694411627571434,46.9
D00054,2023-08-31,2023-12-01,rep_20,SaaS,North America,Core,Partner,Demo,15619,92,Won,1,2023Q3,2023Q4,2023-12,SaaS_Core_North America,16.70886075949367,"(10000, 30000]",64.0,20.869565217391305,9.391304347826088,4.395161290322581,51.4,SaaS_Core,60.0,0.65,0.5,183.0,2840.0,54.8,30.0,10,8.401846675330317,54.0
D00055,2023-02-25,2023-05-17,rep_3,SaaS,Europe,Core,Partner,Demo,17433,81,Won,1,2023Q1,2023Q2,2023-05,SaaS_Core_Europe,20.210526315789473,"(10000, 30000]",64.0,23.703703703703702,9.444444444444445,4.395161290322581,57.8,SaaS_Core,60.0,0.74,0.496,183.0,2512.0,52.4,30.0,10,4.694411627571434,51.0
D00056,2024-03-11,2024-06-13,rep_14,EdTech,North America,Enterprise,Partner,Closed,17272,94,Lost,0,2024Q1,2024Q2,2024-06,EdTech_Enterprise_North America,21.149425287356323,"(10000, 30000]",64.0,20.425531914893618,8.792270531400966,4.395161290322581,54.8,EdTech_Enterprise,60.0,0.64,0.487,183.0,2839.0,51.9,0.0,20,8.401846675330317,34.6
D00057,2023-01-07,2023-05-02,rep_23,HealthTech,India,Core,Partner,Negotiation,9729,115,Won,1,2023Q1,2023Q2,2023-05,HealthTech_Core_India,18.426966292134832,"(0, 10000]",64.0,16.695652173913043,8.91304347826087,4.395161290322581,48.4,HealthTech_Core,65.0,0.57,0.433,183.0,3053.0,52.4,10.118359441968632,10,10.0,33.3
D00058,2023-11-12,2024-03-01,rep_9,EdTech,Europe,Core,Partner,Closed,77091,110,Lost,0,2023Q4,2024Q1,2024-03,EdTech_Core_Europe,18.367346938775512,"(60000, 100000]",65.0,17.727272727272727,8.924731182795698,4.395161290322581,49.4,EdTech_Core,61.0,0.55,0.497,183.0,3558.0,51.3,0.0,10,4.694411627571434,45.3
D00059,2023-08-19,2023-09-26,rep_16,EdTech,Europe,Pro,Outbound,Qualified,17999,38,Lost,0,2023Q3,2023Q3,2023-09,EdTech_Pro_Europe,15.609756097560975,"(10000, 30000]",64.0,30.0,9.417040358744394,4.550561797752809,59.6,EdTech_Pro,64.0,1.68,0.5,182.0,3558.0,53.3,0.0,15,4.694411627571434,26.2
D00060,2023-07-01,2023-10-18,rep_17,HealthTech,North America,Core,Referral,Qualified,56211,109,Won,1,2023Q3,2023Q4,2023-10,HealthTech_Core_North America,18.313253012048193,"(30000, 60000]",64.0,17.61467889908257,8.914285714285715,4.552715654952077,49.4,HealthTech_Core,65.0,0.6,0.447,186.0,2425.0,49.4,10.118359441968632,10,8.401846675330317,50.6
D00061,2023-09-08,2023-11-25,rep_3,EdTech,Europe,Pro,Outbound,Qualified,15800,78,Lost,0,2023Q3,2023Q4,2023-11,EdTech_Pro_Europe,15.609756097560975,"(10000, 30000]",64.0,24.615384615384613,9.444444444444445,4.550561797752809,54.2,EdTech_Pro,64.0,0.82,0.496,182.0,3558.0,53.9,0.0,15,4.694411627571434,25.3
D00062,2023-06-06,2023-09-05,rep_24,SaaS,APAC,Pro,Referral,Negotiation,17068,91,Lost,0,2023Q2,2023Q3,2023-09,SaaS_Pro_APAC,22.285714285714285,"(10000, 30000]",64.0,21.098901098901102,8.96551724137931,4.552715654952077,56.9,SaaS_Pro,64.0,0.7,0.419,186.0,3092.0,53.3,30.0,15,0.0,51.1
D00063,2023-05-19,2023-07-04,rep_24,SaaS,Europe,Core,Outbound,Qualified,19817,46,Won,1,2023Q2,2023Q3,2023-07,SaaS_Core_Europe,20.210526315789473,"(10000, 30000]",64.0,30.0,8.96551724137931,4.550561797752809,63.7,SaaS_Core,60.0,1.3,0.419,182.0,2512.0,53.7,30.0,10,4.694411627571434,52.0
D00064,2024-01-14,2024-03-22,rep_7,EdTech,Europe,Pro,Outbound,Qualified,16595,68,Won,1,2024Q1,2024Q1,2024-03,EdTech_Pro_Europe,15.609756097560975,"(10000, 30000]",64.0,28.235294117647058,8.333333333333334,4.550561797752809,56.7,EdTech_Pro,64.0,0.94,0.349,182.0,3558.0,51.3,0.0,15,4.694411627571434,25.7
D00065,2023-06-04,2023-06-12,rep_10,HealthTech,India,Core,Inbound,Closed,3036,8,Lost,0,2023Q2,2023Q2,2023-06,HealthTech_Core_India,18.426966292134832,"(0, 10000]",64.0,30.0,8.481675392670157,4.603803486529319,61.5,HealthTech_Core,65.0,8.12,0.398,195.0,3053.0,56.1,10.118359441968632,10,10.0,30.5
D00066,2023-10-21,2023-12-03,rep_16,FinTech,North America,Pro,Referral,Proposal,5608,43,Lost,0,2023Q4,2023Q4,2023-12,FinTech_Pro_North America,20.253164556962027,"(0, 10000]",64.0,30.0,9.417040358744394,4.552715654952077,64.2,FinTech_Pro,66.0,1.53,0.5,186.0,3073.0,54.8,17.086215382317068,15,8.401846675330317,42.0
D00067,2023-02-07,2023-04-28,rep_3,HealthTech,North America,Enterprise,Referral,Proposal,39555,80,Lost,0,2023Q1,2023Q2,2023-04,HealthTech_Enterprise_North America,18.5,"(30000, 60000]",64.0,24.0,9.444444444444445,4.552715654952077,56.5,HealthTech_Enterprise,63.0,0.79,0.496,186.0,2425.0,59.6,10.118359441968632,20,8.401846675330317,53.8
D00068,2023-11-07,2024-01-29,rep_10,SaaS,India,Pro,Inbound,Negotiation,16561,83,Lost,0,2023Q4,2024Q1,2024-01,SaaS_Pro_India,20.21978021978022,"(10000, 30000]",64.0,23.132530120481928,8.481675392670157,4.603803486529319,56.4,SaaS_Pro,64.0,0.77,0.398,195.0,3293.0,51.6,30.0,15,10.0,60.9
D00069,2023-11-09,2024-02-18,rep_6,HealthTech,Europe,Enterprise,Inbound,Qualified,18248,101,Won,1,2023Q4,2024Q1,2024-02,HealthTech_Enterprise_Europe,20.48780487804878,"(10000, 30000]",64.0,19.00990099009901,8.557213930348258,4.603803486529319,52.7,HealthTech_Enterprise,63.0,0.62,0.371,195.0,2708.0,52.8,10.118359441968632,20,4.694411627571434,41.4
D00070,2023-03-22,2023-03-29,rep_8,EdTech,APAC,Enterprise,Referral,Qualified,17729,7,Won,1,2023Q1,2023Q1,2023-03,EdTech_Enterprise_APAC,15.064935064935066,"(10000, 30000]",64.0,30.0,9.62566844919786,4.552715654952077,59.2,EdTech_Enterprise,60.0,8.57,0.484,186.0,2518.0,47.9,0.0,20,0.0,26.4
D00071,2023-02-06,2023-05-11,rep_14,FinTech,Europe,Enterprise,Outbound,Demo,97304,94,Won,1,2023Q1,2023Q2,2023-05,FinTech_Enterprise_Europe,18.823529411764707,"(60000, 100000]",65.0,20.74468085106383,8.792270531400966,4.550561797752809,52.9,FinTech_Enterprise,64.0,0.68,0.487,182.0,2937.0,52.4,17.086215382317068,20,4.694411627571434,80.7
D00072,2023-05-17,2023-09-06,rep_10,Ecommerce,North America,Pro,Partner,Closed,60319,112,Won,1,2023Q2,2023Q3,2023-09,Ecommerce_Pro_North America,17.4468085106383,"(60000, 100000]",65.0,17.41071428571429,8.481675392670157,4.395161290322581,47.7,Ecommerce_Pro,64.0,0.57,0.398,183.0,3119.0,53.3,17.931602896560435,15,8.401846675330317,65.1
