deal_id,created_date,closed_date,sales_rep_id,industry,region,product_type,lead_source,deal_stage,deal_amount,sales_cycle_days,outcome
D00136,2023-08-16,2023-11-09,rep_16,HealthTech,APAC,Enterprise,Referral,Proposal,5677,85,Won
D00137,2023-08-25,2023-12-08,rep_7,SaaS,Europe,Pro,Inbound,Demo,16239,105,Won
D00138,2023-11-25,2024-02-01,rep_3,HealthTech,APAC,Pro,Outbound,Proposal,6542,68,Lost
D00139,2024-03-01,2024-05-02,rep_2,Ecommerce,APAC,Core,Referral,Negotiation,3818,62,Won
D00140,2023-02-11,2023-04-06,rep_2,EdTech,India,Enterprise,Outbound,Demo,4610,54,Won
D00141,2024-01-24,2024-04-30,rep_7,HealthTech,India,Core,Partner,Proposal,7040,97,Lost
D00142,2023-05-02,2023-06-16,rep_16,SaaS,North America,Enterprise,Outbound,Qualified,3953,45,Won
D00143,2024-01-03,2024-01-28,rep_14,HealthTech,North America,Enterprise,Partner,Closed,2012,25,Won
D00144,2023-02-04,2023-04-19,rep_2,Ecommerce,APAC,Pro,Inbound,Negotiation,17079,74,Lost
D00145,2023-07-02,2023-10-17,rep_5,FinTech,APAC,Enterprise,Partner,Proposal,33587,107,Won
D00146,2024-02-21,2024-05-20,rep_5,FinTech,India,Core,Partner,Demo,82722,89,Won
D00147,2023-04-14,2023-04-26,rep_18,Ecommerce,APAC,Core,Outbound,Negotiation,60642,12,Lost
D00148,2023-05-27,2023-07-18,rep_12,Ecommerce,India,Enterprise,Referral,Qualified,18743,52,Lost
D00149,2023-07-17,2023-09-05,rep_9,FinTech,India,Core,Referral,Closed,19338,50,Lost
D00150,2023-11-05,2024-02-25,rep_22,EdTech,APAC,Pro,Referral,Proposal,4406,112,Won
D00151,2023-03-27,2023-06-30,rep_9,FinTech,North America,Enterprise,Referral,Negotiation,66210,95,Won
D00152,2023-07-06,2023-09-16,rep_22,Ecommerce,North America,Core,Inbound,Closed,7565,72,Lost
D00153,2023-05-01,2023-08-15,rep_5,Ecommerce,APAC,Pro,Referral,Closed,4966,106,Lost
D00154,2024-01-26,2024-02-11,rep_8,FinTech,North America,Enterprise,Outbound,Proposal,14012,16,Lost
D00155,2023-09-13,2023-11-25,rep_7,SaaS,APAC,Enterprise,Referral,Negotiation,9929,73,Won
D00156,2023-04-13,2023-05-05,rep_3,EdTech,APAC,Enterprise,Inbound,Negotiation,42630,22,Won
D00157,2023-10-09,2023-12-24,rep_8,FinTech,Europe,Core,Outbound,Closed,10580,76,Won
D00158,2024-02-09,2024-04-19,rep_5,SaaS,North America,Core,Partner,Closed,17376,70,Won
D00159,2023-07-23,2023-10-29,rep_5,EdTech,North America,Pro,Referral,Qualified,73665,98,Lost
D00160,2023-12-15,2024-02-26,rep_14,SaaS,North America,Core,Outbound,Demo,6516,73,Won
D00161,2023-06-05,2023-07-03,rep_3,EdTech,Europe,Enterprise,Partner,Proposal,65353,28,Won
D00162,2023-03-06,2023-06-01,rep_19,SaaS,Europe,Core,Partner,Demo,85873,87,Won
D00163,2024-03-07,2024-05-25,rep_9,HealthTech,India,Enterprise,Inbound,Closed,25958,79,Won
D00164,2023-09-12,2024-01-10,rep_22,Ecommerce,APAC,Pro,Inbound,Demo,18517,120,Lost
D00165,2023-12-19,2024-01-02,rep_20,HealthTech,APAC,Enterprise,Partner,Proposal,5404,14,Won
D00166,2024-01-11,2024-05-07,rep_4,EdTech,Europe,Pro,Inbound,Closed,68567,117,Won
D00167,2023-05-17,2023-07-20,rep_14,HealthTech,Europe,Pro,Partner,Closed,8829,64,Won
D00168,2023-04-08,2023-07-21,rep_1,FinTech,India,Enterprise,Referral,Negotiation,15648,104,Won
D00169,2023-05-04,2023-06-07,rep_21,Ecommerce,APAC,Enterprise,Inbound,Closed,8828,34,Lost
D00170,2024-03-09,2024-03-29,rep_2,Ecommerce,North America,Enterprise,Outbound,Proposal,19919,20,Won
D00171,2023-07-05,2023-09-20,rep_20,SaaS,North America,Core,Inbound,Proposal,79028,77,Won
D00172,2023-07-21,2023-09-13,rep_20,SaaS,India,Enterprise,Inbound,Demo,4777,54,Lost
D00173,2023-01-24,2023-02-04,rep_20,SaaS,Europe,Pro,Partner,Demo,15761,11,Won
D00174,2023-03-25,2023-05-21,rep_18,Ecommerce,APAC,Pro,Inbound,Closed,64089,57,Lost
D00175,2023-07-08,2023-08-26,rep_20,Ecommerce,APAC,Enterprise,Outbound,Qualified,60327,49,Lost
D00176,2024-01-05,2024-01-18,rep_2,SaaS,North America,Core,Inbound,Demo,3396,13,Lost
D00177,2023-08-14,2023-09-30,rep_25,SaaS,India,Enterprise,Inbound,Closed,19313,47,Won
D00178,2023-12-28,2024-01-21,rep_11,HealthTech,India,Enterprise,Partner,Negotiation,82701,24,Lost
D00179,2023-10-07,2023-11-28,rep_7,HealthTech,APAC,Enterprise,Partner,Negotiation,54650,52,Lost
D00180,2023-04-26,2023-06-10,rep_12,SaaS,APAC,Pro,Inbound,Negotiation,11396,45,Lost
D00181,2023-10-21,2024-01-22,rep_10,FinTech,APAC,Pro,Partner,Qualified,13654,93,Lost
D00182,2024-01-18,2024-03-26,rep_5,FinTech,Europe,Core,Inbound,Proposal,93664,68,Won
D00183,2023-12-09,2024-02-21,rep_23,Ecommerce,North America,Enterprise,Outbound,Proposal,8860,74,Won
D00184,2023-01-03,2023-03-21,rep_25,EdTech,APAC,Pro,Inbound,Demo,14666,77,Lost
D00185,2024-01-29,2024-02-16,rep_6,FinTech,India,Pro,Outbound,Negotiation,3902,18,Lost
D00186,2024-01-19,2024-05-16,rep_4,EdTech,APAC,Pro,Referral,Closed,59110,118,Lost
D00187,2023-03-10,2023-07-03,rep_24,Ecommerce,APAC,Enterprise,Outbound,Demo,11159,115,Lost
D00188,2023-01-08,2023-04-19,rep_21,Ecommerce,India,Enterprise,Partner,Closed,4416,101,Won
D00189,2023-02-14,2023-04-13,rep_1,EdTech,India,Core,Referral,Demo,10303,58,Lost
D00190,2024-01-21,2024-03-02,rep_21,EdTech,Europe,Core,Inbound,Proposal,4473,41,Lost
D00191,2023-08-27,2023-10-12,rep_21,EdTech,APAC,Enterprise,Outbound,Qualified,60760,46,Won
D00192,2023-04-23,2023-05-17,rep_16,SaaS,Europe,Core,Inbound,Closed,17924,24,Lost
D00193,2023-09-27,2023-11-30,rep_18,SaaS,Europe,Enterprise,Outbound,Qualified,4963,64,Lost
D00194,2023-03-26,2023-05-13,rep_16,FinTech,India,Core,Referral,Closed,46922,48,Lost
D00195,2023-03-09,2023-05-20,rep_24,FinTech,India,Pro,Inbound,Proposal,8945,72,Won
D00196,2024-01-17,2024-02-20,rep_18,FinTech,North America,Pro,Inbound,Qualified,65158,34,Lost
D00197,2023-05-27,2023-07-25,rep_15,Ecommerce,India,Core,Outbound,Negotiation,18510,59,Won
D00198,2023-12-01,2024-03-27,rep_24,HealthTech,North America,Core,Partner,Demo,71518,117,Won
D00199,2023-08-26,2023-11-27,rep_15,EdTech,Europe,Pro,Outbound,Demo,5474,93,Lost
D00200,2024-03-24,2024-07-01,rep_8,HealthTech,North America,Core,Inbound,Qualified,74950,99,Lost
D00201,2023-08-17,2023-11-08,rep_8,SaaS,Europe,Core,Outbound,Negotiation,12009,83,Lost
D00202,2023-09-15,2023-10-29,rep_25,EdTech,Europe,Pro,Outbound,Closed,61799,44,Won
D00203,2023-12-05,2024-02-16,rep_24,HealthTech,India,Enterprise,Referral,Closed,27989,73,Won
D00204,2023-01-25,2023-03-17,rep_14,HealthTech,APAC,Pro,Outbound,Negotiation,14244,51,Lost
D00205,2024-01-22,2024-04-06,rep_18,Ecommerce,India,Enterprise,Outbound,Qualified,12927,75,Lost
D00206,2023-07-18,2023-08-25,rep_3,SaaS,Europe,Core,Partner,Proposal,18595,38,Won
D00207,2023-07-13,2023-10-14,rep_7,Ecommerce,Europe,Pro,Partner,Closed,44662,93,Lost
D00208,2023-01-08,2023-02-11,rep_23,HealthTech,India,Core,Partner,Closed,51797,34,Lost
D00209,2024-02-02,2024-03-16,rep_12,SaaS,India,Pro,Inbound,Proposal,18628,43,Won
D00210,2024-02-16,2024-05-25,rep_2,SaaS,Europe,Enterprise,Outbound,Negotiation,11328,99,Lost
D00211,2023-01-09,2023-02-18,rep_7,EdTech,Europe,Pro,Outbound,Demo,17488,40,Lost
D00212,2023-09-13,2023-11-29,rep_15,HealthTech,APAC,Core,Outbound,Negotiation,13530,77,Lost
D00213,2024-01-04,2024-03-20,rep_3,FinTech,North America,Pro,Outbound,Qualified,27698,76,Lost
D00214,2024-03-07,2024-06-02,rep_15,EdTech,North America,Enterprise,Referral,Closed,7793,87,Won
D00215,2023-12-04,2024-02-11,rep_17,EdTech,APAC,Core,Referral,Qualified,6359,69,Won
D00216,2024-02-17,2024-03-17,rep_20,SaaS,APAC,Pro,Partner,Demo,2789,29,Won
D00217,2024-02-12,2024-04-09,rep_10,FinTech,North America,Core,Referral,Demo,5326,57,Won
D00218,2023-07-14,2023-09-07,rep_3,Ecommerce,India,Enterprise,Partner,Demo,21238,55,Lost
D00219,2023-10-17,2024-02-10,rep_16,EdTech,North America,Core,Partner,Closed,6326,116,Lost
D00220,2023-10-06,2023-12-24,rep_5,Ecommerce,North America,Pro,Outbound,Closed,3469,79,Lost
D00221,2023-10-16,2023-11-22,rep_25,HealthTech,North America,Enterprise,Partner,Negotiation,19092,37,Lost
D00222,2023-01-28,2023-02-16,rep_13,EdTech,North America,Enterprise,Partner,Closed,99320,19,Won
D00223,2024-02-06,2024-04-10,rep_22,SaaS,India,Core,Partner,Demo,17060,64,Lost
D00224,2024-02-13,2024-03-22,rep_24,Ecommerce,APAC,Pro,Inbound,Demo,12390,38,Lost
D00225,2023-02-16,2023-02-23,rep_3,HealthTech,India,Pro,Referral,Demo,5643,7,Lost
D00226,2023-02-22,2023-03-04,rep_13,FinTech,APAC,Pro,Referral,Proposal,98240,10,Won
D00227,2024-02-03,2024-02-20,rep_22,Ecommerce,Europe,Core,Partner,Demo,94967,17,Lost
D00228,2023-06-04,2023-07-15,rep_10,Ecommerce,North America,Pro,Partner,Negotiation,10739,41,Lost
D00229,2023-05-07,2023-08-14,rep_5,EdTech,North America,Pro,Partner,Qualified,18103,99,Lost
D00230,2024-03-06,2024-05-31,rep_5,EdTech,APAC,Enterprise,Outbound,Closed,15212,86,Won
D00231,2023-09-03,2023-10-20,rep_19,HealthTech,APAC,Pro,Partner,Negotiation,58200,47,Won
D00232,2024-02-23,2024-06-09,rep_6,SaaS,North America,Enterprise,Referral,Closed,46188,107,Won
D00233,2023-12-29,2024-01-31,rep_5,EdTech,Europe,Pro,Outbound,Negotiation,19351,33,Won
D00234,2024-01-02,2024-03-03,rep_13,SaaS,India,Enterprise,Inbound,Closed,15357,61,Lost
D00235,2024-02-09,2024-04-02,rep_22,EdTech,Europe,Enterprise,Inbound,Demo,6398,53,Lost
D00236,2023-10-16,2024-01-13,rep_4,EdTech,Europe,Enterprise,Outbound,Qualified,5273,89,Lost
D00237,2023-08-17,2023-10-10,rep_1,Ecommerce,North America,Pro,Referral,Proposal,7566,54,Won
D00238,2023-02-13,2023-03-06,rep_15,HealthTech,India,Pro,Referral,Proposal,10321,21,Lost
D00239,2023-02-19,2023-04-23,rep_23,FinTech,North America,Pro,Inbound,Qualified,13225,63,Lost
D00240,2023-12-13,2024-03-31,rep_11,SaaS,India,Pro,Outbound,Demo,42865,109,Won
D00241,2024-02-13,2024-04-11,rep_24,SaaS,Europe,Pro,Referral,Qualified,18493,58,Lost
D00242,2023-07-19,2023-07-26,rep_18,HealthTech,APAC,Pro,Outbound,Qualified,28200,7,Lost
D00243,2023-08-23,2023-09-13,rep_20,Ecommerce,North America,Pro,Partner,Negotiation,61078,21,Won
D00244,2024-03-08,2024-05-12,rep_3,HealthTech,APAC,Core,Outbound,Closed,58986,65,Lost
D00245,2023-06-06,2023-06-27,rep_20,HealthTech,India,Pro,Outbound,Negotiation,10316,21,Won
D00246,2023-09-07,2023-12-04,rep_10,HealthTech,Europe,Pro,Referral,Negotiation,7285,88,Lost
D00247,2023-11-14,2023-11-27,rep_18,SaaS,India,Pro,Referral,Negotiation,2078,13,Lost
D00248,2023-08-01,2023-11-06,rep_25,HealthTech,APAC,Core,Partner,Qualified,30835,97,Lost
D00249,2023-04-26,2023-07-10,rep_4,SaaS,North America,Pro,Partner,Closed,84921,75,Won
D00250,2023-10-05,2024-01-25,rep_4,HealthTech,APAC,Core,Referral,Negotiation,7889,112,Lost
D00251,2023-05-15,2023-07-05,rep_24,SaaS,APAC,Enterprise,Referral,Demo,2712,51,Lost
D00252,2023-03-26,2023-06-19,rep_18,EdTech,Europe,Pro,Partner,Proposal,27780,85,Won
D00253,2023-05-29,2023-08-17,rep_2,EdTech,Europe,Enterprise,Outbound,Negotiation,6214,80,Won
D00254,2023-05-08,2023-06-02,rep_19,EdTech,India,Pro,Referral,Demo,19079,25,Lost
D00255,2023-02-08,2023-05-07,rep_23,EdTech,India,Pro,Partner,Proposal,87582,88,Lost
D00256,2023-10-25,2023-11-01,rep_3,SaaS,India,Core,Referral,Proposal,80089,7,Lost
D00257,2024-02-27,2024-04-01,rep_5,SaaS,India,Pro,Inbound,Closed,64270,34,Lost
